subid,sex,agebin,task,item,q,q_kind,answer,task_num,site,age
MC-canada_18,M,mid,moral,rip,3,0,2,moral3,canada,10.80082136
MC-canada_18,M,mid,moral,rip,3,1,N,moral3.1,canada,10.80082136
MC-canada_18,M,mid,moral,rip,3,2,N,moral3.2,canada,10.80082136
MC-canada_18,M,mid,moral,rip,3,3,N,moral3.3,canada,10.80082136
MC-canada_19,F,yng,moral,push,1,0,1,moral1,canada,7.912388775
MC-canada_19,F,yng,moral,push,1,1,N,moral1.1,canada,7.912388775
MC-canada_19,F,yng,moral,push,1,2,Y,moral1.2,canada,7.912388775
MC-canada_19,F,yng,moral,push,1,3,N,moral1.3,canada,7.912388775
MC-canada_19,F,yng,moral,namecall,2,0,2,moral2,canada,7.912388775
MC-canada_19,F,yng,moral,namecall,2,1,N,moral2.1,canada,7.912388775
MC-canada_19,F,yng,moral,namecall,2,2,Y,moral2.2,canada,7.912388775
MC-canada_19,F,yng,moral,namecall,2,3,N,moral2.3,canada,7.912388775
MC-canada_19,F,yng,moral,rip,3,0,2,moral3,canada,7.912388775
MC-canada_19,F,yng,moral,rip,3,1,N,moral3.1,canada,7.912388775
MC-canada_19,F,yng,moral,rip,3,2,Y,moral3.2,canada,7.912388775
MC-canada_19,F,yng,moral,rip,3,3,N,moral3.3,canada,7.912388775
MC-canada_20,M,yng,moral,push,1,0,3,moral1,canada,8.873374401
MC-canada_20,M,yng,moral,push,1,1,N,moral1.1,canada,8.873374401
MC-canada_20,M,yng,moral,push,1,2,Y,moral1.2,canada,8.873374401
MC-canada_20,M,yng,moral,push,1,3,N,moral1.3,canada,8.873374401
MC-canada_20,M,yng,moral,namecall,2,0,2,moral2,canada,8.873374401
MC-canada_20,M,yng,moral,namecall,2,1,N,moral2.1,canada,8.873374401
MC-canada_20,M,yng,moral,namecall,2,2,Y,moral2.2,canada,8.873374401
MC-canada_20,M,yng,moral,namecall,2,3,N,moral2.3,canada,8.873374401
MC-canada_20,M,yng,moral,rip,3,0,1,moral3,canada,8.873374401
MC-canada_20,M,yng,moral,rip,3,1,N,moral3.1,canada,8.873374401
MC-canada_20,M,yng,moral,rip,3,2,Y,moral3.2,canada,8.873374401
MC-canada_20,M,yng,moral,rip,3,3,N,moral3.3,canada,8.873374401
MC-canada_21,M,yng,moral,push,1,0,2,moral1,canada,7.942505133
MC-canada_21,M,yng,moral,push,1,1,N,moral1.1,canada,7.942505133
MC-canada_21,M,yng,moral,push,1,2,Y,moral1.2,canada,7.942505133
MC-canada_21,M,yng,moral,push,1,3,N,moral1.3,canada,7.942505133
MC-canada_21,M,yng,moral,namecall,2,0,3,moral2,canada,7.942505133
MC-canada_21,M,yng,moral,namecall,2,1,N,moral2.1,canada,7.942505133
MC-canada_21,M,yng,moral,namecall,2,2,Y,moral2.2,canada,7.942505133
MC-canada_21,M,yng,moral,namecall,2,3,N,moral2.3,canada,7.942505133
MC-canada_21,M,yng,moral,rip,3,0,2,moral3,canada,7.942505133
MC-canada_21,M,yng,moral,rip,3,1,N,moral3.1,canada,7.942505133
MC-canada_21,M,yng,moral,rip,3,2,Y,moral3.2,canada,7.942505133
MC-canada_21,M,yng,moral,rip,3,3,N,moral3.3,canada,7.942505133
MC-canada_22,F,yng,moral,push,1,0,1,moral1,canada,7.534565366
MC-canada_22,F,yng,moral,push,1,1,N,moral1.1,canada,7.534565366
MC-canada_22,F,yng,moral,push,1,2,N,moral1.2,canada,7.534565366
MC-canada_22,F,yng,moral,push,1,3,N,moral1.3,canada,7.534565366
MC-canada_22,F,yng,moral,namecall,2,0,1,moral2,canada,7.534565366
MC-canada_22,F,yng,moral,namecall,2,1,N,moral2.1,canada,7.534565366
MC-canada_22,F,yng,moral,namecall,2,2,N,moral2.2,canada,7.534565366
MC-canada_22,F,yng,moral,namecall,2,3,N,moral2.3,canada,7.534565366
MC-canada_22,F,yng,moral,rip,3,0,1,moral3,canada,7.534565366
MC-canada_22,F,yng,moral,rip,3,1,N,moral3.1,canada,7.534565366
MC-canada_22,F,yng,moral,rip,3,2,N,moral3.2,canada,7.534565366
MC-canada_22,F,yng,moral,rip,3,3,N,moral3.3,canada,7.534565366
MC-canada_23,F,yng,moral,push,1,0,2,moral1,canada,7.75633128
MC-canada_23,F,yng,moral,push,1,1,N,moral1.1,canada,7.75633128
MC-canada_23,F,yng,moral,push,1,2,N,moral1.2,canada,7.75633128
MC-canada_23,F,yng,moral,push,1,3,N,moral1.3,canada,7.75633128
MC-canada_23,F,yng,moral,namecall,2,0,1,moral2,canada,7.75633128
MC-canada_23,F,yng,moral,namecall,2,1,N,moral2.1,canada,7.75633128
MC-canada_23,F,yng,moral,namecall,2,2,N,moral2.2,canada,7.75633128
MC-canada_23,F,yng,moral,namecall,2,3,N,moral2.3,canada,7.75633128
MC-canada_23,F,yng,moral,rip,3,0,1,moral3,canada,7.75633128
MC-canada_23,F,yng,moral,rip,3,1,N,moral3.1,canada,7.75633128
MC-canada_23,F,yng,moral,rip,3,2,N,moral3.2,canada,7.75633128
MC-canada_23,F,yng,moral,rip,3,3,N,moral3.3,canada,7.75633128
MC-canada_24,F,yng,moral,push,1,0,2,moral1,canada,6.650239562
MC-canada_24,F,yng,moral,push,1,1,Y,moral1.1,canada,6.650239562
MC-canada_24,F,yng,moral,push,1,2,N,moral1.2,canada,6.650239562
MC-canada_24,F,yng,moral,push,1,3,N,moral1.3,canada,6.650239562
MC-canada_24,F,yng,moral,namecall,2,0,1,moral2,canada,6.650239562
MC-canada_24,F,yng,moral,namecall,2,1,N,moral2.1,canada,6.650239562
MC-canada_24,F,yng,moral,namecall,2,2,N,moral2.2,canada,6.650239562
MC-canada_24,F,yng,moral,namecall,2,3,N,moral2.3,canada,6.650239562
MC-canada_24,F,yng,moral,rip,3,0,1,moral3,canada,6.650239562
MC-canada_24,F,yng,moral,rip,3,1,N,moral3.1,canada,6.650239562
MC-canada_24,F,yng,moral,rip,3,2,N,moral3.2,canada,6.650239562
MC-canada_24,F,yng,moral,rip,3,3,N,moral3.3,canada,6.650239562
MC-canada_25,M,yng,moral,push,1,0,1,moral1,canada,6.606433949
MC-canada_25,M,yng,moral,push,1,1,N,moral1.1,canada,6.606433949
