subid,justifications,item,theme-MM,theme 2- MM,theme-AA,theme 2-AA,theme-HY,theme 2- HY,,Agreement,2nd Agreement,Final theme
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
PP100416-2,disrespectful to elders,back to elder,disrespect,,disrespect,,disrespect,,,1,,disrespect
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,rugs will get dirty,shoes in house,disrespect,,wrong,,wrong,,,1,,wrong
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,the other person might be thirsty and want some,drink,disrespect,,wrong,,disrespect,,,0,disrespect,disrespect
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,they'll laugh at him it's inappropriate,slippers,embarrassing,,embarassing,,embarrassing,,,1,,embarrassing
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,it's rude,table,disrespect,,disrespect,,disrespect,,,1,,disrespect
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,his friend will break his head or nose,push,injury,,injury,,injury,,,1,,injury
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,"will get in trouble, it's embarrassing",swimsuit,embarrassing,,social order,embarassing ,embarrassing,,,1,,embarrassing
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,NA,bad name,NA,,NA,,NA,,,NA,,NA
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,teacher will get upset,teacher,disrespect,,disrespect,,disrespect,,,1,,disrespect
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,his friend will get upset,drawing,disrespect,,disrespect,,disrespect,,,1,,disrespect
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
PP100416-2,,,,,,,,,,,,
